아이디,댓글 내용
  리나,매번 너무 재밌게 보고 있어요!오늘도 공포와 감사함의 의학의 역사였네요....
  Shapry,놀랍다 못해 이젠 과거의 치료가 기괴하기 까지 하다...끓는 기름...?진짜 말이 안나오네요...
  cHerRY,"늘 영상 보면서 느끼는 거지만 21세기에서 살아가고 있어서 넘 다행이에요 ㅎㅅㅎ,,,기회가 된다면 치과 치료의 역사나 에이즈 치료의 역사도 보고 싶어요!"
  팬둥_,역사에 관심이 없었는데…이건 넘 재밌잖아요!!!!! 쉽게 설명을 잘 해주셔서 이해가 쏙쏙 되요!이렇게 설명해 주시려면 얼마나 많은 공부를 하시는건가요. ㅠ. 대단하십니다:
  노랑,마취의 발달이 의학에 넘 큰 기여를 했죠!앞으로100년..500년후의의학은 얼마나 발전할지궁금하네요.^^
  1 Gate,가끔 중세시대나 사극영화에 상처입으면 약초를 짖이겨 바르는건 흔한 일은 아니었나보네요. sns에서 수술장갑이 등장한 이유를 봤는데 한번 다뤄봐주시면 좋을것 같습니다. 내용이 굉장히 흥미진진했어요 ㅎㅎ 멜로와 호러가 섞였더군요.
  유튜브 보는 춘식이,"현대의 입장에서 옛날의 치료 역사를 보면 정말 경악스럽고 어떻게 그런 치료를 할 수 있지? 라는 생각이 들지만 결국 그런 치료 과정들 덕분에 데이터가 쌓여서 현대 의학이 발전했네요 근데 진짜 너무 아프고 고통스러웠을 거 같음ㅠㅠㅠ 자르고, 끓는 기름 붓고ㅠㅠ 현대에 태어나서 다행이라는 생각이 살짝 드네요.."
  우는쿼카,의학의 역사 시리즈 너무 재밌어요 ㅎㅎㅎ 여성 월경 또는 월경용품의 역사에 대해서도 언젠가 다뤄주시리라 생각하고 기다리고 있습니다^^
  7thlegin,진짜 의학의 발전은 수많은 희생을 뒤로한 것이군요
  jhj1057,대일밴드 하나 붙이는게 엄청난거 였구나...이 시대에 살고 있는게 새삼 고맙게 느껴지네요.
  로롤해,이런걸 대학교 교양강의로 만들어야함.. 얼마나 유익하고 재밌어
  윈드밀,너무 재밌고 기다려서 아껴보는 두번세번 보고 자식 보여주고. 암튼 최고의 컨텐츠입니다. 근데. 낙준선생님. 얼굴색이 검어져가시고 살도 빠지시고. 건강 잘 챙기시구요. 유익한데 즐겁고 재미있기까지 하니 오히려 구독자로서 늘 감사드려요.
  Amanda -,의학의 역사 시리즈 정말 흥미롭게 잘 보고 있습니다ㅎㅎ 꾸준하게 많이 올려주세요!
  그림그리는 눈알,찰과상을 달고 사는 저는 손 덜덜 떨면서 봤습니다 ㅋㅋㅋㅋㅋㅋㅋ내용도 재밌고 편집도 점점 웃겨져가요 ㅋㅋㅋㅋ
  리게이머,"요즘 웹소설로 현대 의사가 19세기 유럽 의학계로 간 내용을 보고있는데 치료, 수술 방법이 충격과 공포더라구요..."
  올리브마크라메,불만가득했던 일상에 찐 감사함을 일깨워주는 본격 인격수양 영상 
  Judyhyenju Choi,살줄알았지?ㅋㅋㅋ 중간중간 재밌게 말씀해주셔서 몰입도 최고 ㅋㅋㅋ
  _욜로욜로,"""왼 팔이 없어도 살수있게 해주시고.."" 이 부분이랑 해파리 쏘였을때 어땠어요 하던 낙준샘 오버랩돼욬ㅋㅋㅋㅋㅋㅋ 연기하는 낙준샘 넘 웃김ㅋㅋㅋㅋㅋㅋㅋㅋ"
  nomnom nom,우창윤 선생님 반응이랑 그에 대한 자막이 영상의 재미를 배로 살려줌ㅋㅋㅋㅋ
  ddong 2222,서로를 죽이기 위한 전쟁으로부터 사람을 살리는 의학이 발전되었다니 정말 아이러니하지만 재밌네요. 좋은 영상 잘 봤습니다.
  리나,매번 너무 재밌게 보고 있어요!오늘도 공포와 감사함의 의학의 역사였네요....
  music,이 시리즈 너무 좋아요. 계속 올려주셔서 감사합니다. 닥프 보는 게 삶의 낙이에요.
  He Ro,오 오히려 이 영상을 간호학개론시간에 틀어주면 좋을법한...? 크게 와닿으면서 배우지 못했는데 이 영상보고 소름돋네요;; 손씻기 백번 천번을 말해도 중요한 기본개념
  hse,와 생각보다 엄청나게 의학이 발달한게 정말 최근이네요.. 가장 오래된 이집트가 제일 정상인.. 지금태어난게 감사하다
  MoooTV,지금수준의 의학개념들이 200년이 안된거였다니...
  살살해라,"독에 대한 역사도 알려주면 재밌을거같아요예를 들어 복어 독.. 예전에 어디서봤는데복어를 계속 먹으면서 사람이 죽는걸 보고도 목숨과 맞바꿀만한 음식이다 하면서 어디를 먹으면 죽더라 했다던데,..ㅋㅋ"
  광광우럭,검은 머리 영국 의사 재밌게 보고 있어요ㅋㅋㅋ 의학의 역사도 보고 소설도 보니까 재미가 두배!!
  Violet Kim,예전에 바닥 틈새에 발가락이 낑겨서 발가락 살점 떨어져나간적이 있는데 옛날이었으면 꼼짝없이 발 절단행이었겠네요..... 과거에 절단수술이 많았던 이유가 있군요.... 그래서 리스턴박사님이 그렇게나 절단을ㅋㅋㅋㅋ
  론말랑,역시 재밌어요ㅋㅋㅋ 혹시 생리(통)의 역사도 가능할까요? 도대체 옛날엔 어떻게 했을까 궁금해요ㅋㅋㅋ
  africayouth,오늘 기대한 만큼 시험결과가 안나와서ㅜ너무 속상하고 힘들었는데 닥프선생님들 영상 올라온거 보고 기분이 너무 좋아졋어요  항상 재밌고 유익한 영상 올려주셔서 감사해요 너무너무 항상 힘이 돼요 닥프 선생님들 화이팅!!!
  Vanzi_8,연고만해도 수만년에 달하는 인류의 시행착오로 발견한 엄청난 물건이네요.. 기록이 없었을 시대부터 생각하면..
  집에 가도 돼요?,"현대 의학에서는 말도 안되는 의학 역사 부분이 나오면 쌤들의 그 어이가 털린 표정, 말도 안된다는 표정이 너무…ㅎ"
  Becket,"아 이런 거 볼 때마다 참 슬퍼집니다. 대체 얼마나 많은 사람들이 고통속에서 죽으면서, 그런 결과로 우리가 아무렇지 않게 치료 받고 살아있고 숨 붙어있는 건지 생각해보면 .."
  高先賢,이낙준 선생님의 입담도 입담인데우창윤 선생님이 괴로워하는게 너무 좋아요 (저 이상한 사람 아닙니다)그리고 오진승 선생님이 얼굴 감싸쥐는 것도 ㅋㅋㅋㅋ 좋아요
  에이지,의학역사 시리즈 재밌고 유익해서 좋다 
  야채불합리,봉화 광산에서 매몰되었다가 광부들이 구조되어 치료받고 있다는 기사를 읽었는데 사진에서 시력보호를 위해 안대를 쓰고 있더라고요. 오랜 시간 빛이 없는 곳에 있다가 갑자기 빛을 보는게 어떤식으로 시력에 영향을 주기에 이런 조치를 취하는지 궁금해졌네요...
  이지호,와...문제가 생기면 문제의 근원을 없애는 치료법이게 중세시대의 치료법 이었군요....손가락이 다치면 손가락을 없애버리는...
  JM,첨단 IT 시대에 태어났음에 감사할게 아니라저런 야만적인 치료를 받지 않는 시대에 사는 것에 감사합니다.......
  pie p,이 의학의 역사 컨텐츠를 보며 열정맨 이낙준쌤이 기획해서 좋다고 생각하는 1인 ㅋㅋ 일단 원고가 빨리 나온다 ... ㅋㅋㅋㅋㅋㅋㅋ 영상이 빨리 나와 좋다 ㅋㅋㅋ 근데 낙준쌤 낯빛이 않좋아보이넹 ㅎ 너무 무리하시나 ~ ㅎㅎ 5:50 창윤쌤 상상해서 또 빨개짐 ㅋㅋ
  KIM,닥프쌤들...! 이런 정보는 어디서 들고 오시는 건지 너무 궁금해요
  귱시렁,수백년을 아무런 의심없이 팔다리를 계속 잘라왔다니.. 발전이란 불문율을 깨는 과정이기도 하죠. 과거의 더딘 의료기술과 나날이 발전하는 현시대의 의료기술을 비교해보니 과거에 비하면 현대의 인류는 참 객관화가 잘되어간다는 느낌이 듭니다.
  music,이 시리즈 너무 좋아요. 계속 올려주셔서 감사합니다. 닥프 보는 게 삶의 낙이에요.
  He Ro,오 오히려 이 영상을 간호학개론시간에 틀어주면 좋을법한...? 크게 와닿으면서 배우지 못했는데 이 영상보고 소름돋네요;; 손씻기 백번 천번을 말해도 중요한 기본개념
  hse,와 생각보다 엄청나게 의학이 발달한게 정말 최근이네요.. 가장 오래된 이집트가 제일 정상인.. 지금태어난게 감사하다
  MoooTV,지금수준의 의학개념들이 200년이 안된거였다니...
  살살해라,"독에 대한 역사도 알려주면 재밌을거같아요예를 들어 복어 독.. 예전에 어디서봤는데복어를 계속 먹으면서 사람이 죽는걸 보고도 목숨과 맞바꿀만한 음식이다 하면서 어디를 먹으면 죽더라 했다던데,..ㅋㅋ"
  광광우럭,검은 머리 영국 의사 재밌게 보고 있어요ㅋㅋㅋ 의학의 역사도 보고 소설도 보니까 재미가 두배!!
  Violet Kim,예전에 바닥 틈새에 발가락이 낑겨서 발가락 살점 떨어져나간적이 있는데 옛날이었으면 꼼짝없이 발 절단행이었겠네요..... 과거에 절단수술이 많았던 이유가 있군요.... 그래서 리스턴박사님이 그렇게나 절단을ㅋㅋㅋㅋ
  론말랑,역시 재밌어요ㅋㅋㅋ 혹시 생리(통)의 역사도 가능할까요? 도대체 옛날엔 어떻게 했을까 궁금해요ㅋㅋㅋ
  africayouth,오늘 기대한 만큼 시험결과가 안나와서ㅜ너무 속상하고 힘들었는데 닥프선생님들 영상 올라온거 보고 기분이 너무 좋아졋어요  항상 재밌고 유익한 영상 올려주셔서 감사해요 너무너무 항상 힘이 돼요 닥프 선생님들 화이팅!!!
  Vanzi_8,연고만해도 수만년에 달하는 인류의 시행착오로 발견한 엄청난 물건이네요.. 기록이 없었을 시대부터 생각하면..
  집에 가도 돼요?,"현대 의학에서는 말도 안되는 의학 역사 부분이 나오면 쌤들의 그 어이가 털린 표정, 말도 안된다는 표정이 너무…ㅎ"
  Becket,"아 이런 거 볼 때마다 참 슬퍼집니다. 대체 얼마나 많은 사람들이 고통속에서 죽으면서, 그런 결과로 우리가 아무렇지 않게 치료 받고 살아있고 숨 붙어있는 건지 생각해보면 .."
  高先賢,이낙준 선생님의 입담도 입담인데우창윤 선생님이 괴로워하는게 너무 좋아요 (저 이상한 사람 아닙니다)그리고 오진승 선생님이 얼굴 감싸쥐는 것도 ㅋㅋㅋㅋ 좋아요
  에이지,의학역사 시리즈 재밌고 유익해서 좋다 
  야채불합리,봉화 광산에서 매몰되었다가 광부들이 구조되어 치료받고 있다는 기사를 읽었는데 사진에서 시력보호를 위해 안대를 쓰고 있더라고요. 오랜 시간 빛이 없는 곳에 있다가 갑자기 빛을 보는게 어떤식으로 시력에 영향을 주기에 이런 조치를 취하는지 궁금해졌네요...
  이지호,와...문제가 생기면 문제의 근원을 없애는 치료법이게 중세시대의 치료법 이었군요....손가락이 다치면 손가락을 없애버리는...
  JM,첨단 IT 시대에 태어났음에 감사할게 아니라저런 야만적인 치료를 받지 않는 시대에 사는 것에 감사합니다.......
  pie p,이 의학의 역사 컨텐츠를 보며 열정맨 이낙준쌤이 기획해서 좋다고 생각하는 1인 ㅋㅋ 일단 원고가 빨리 나온다 ... ㅋㅋㅋㅋㅋㅋㅋ 영상이 빨리 나와 좋다 ㅋㅋㅋ 근데 낙준쌤 낯빛이 않좋아보이넹 ㅎ 너무 무리하시나 ~ ㅎㅎ 5:50 창윤쌤 상상해서 또 빨개짐 ㅋㅋ
  KIM,닥프쌤들...! 이런 정보는 어디서 들고 오시는 건지 너무 궁금해요
  귱시렁,수백년을 아무런 의심없이 팔다리를 계속 잘라왔다니.. 발전이란 불문율을 깨는 과정이기도 하죠. 과거의 더딘 의료기술과 나날이 발전하는 현시대의 의료기술을 비교해보니 과거에 비하면 현대의 인류는 참 객관화가 잘되어간다는 느낌이 듭니다.
  Syi Sarika Loka Luha,시간이 많이 흐르면 지금의 의학도 예전 의학 보듯이 미개하게 생각될 때가 오려나..
  My etoile Mika,술에 알코올이 있으니 그냥 상처에 술만 붓고 술에 젹셔서 말린 붕대만 감아도 어지간한 찰과상은 문제가 없었을텐데 그 당시 그로테스크한 정신세계의 치료방법이 신기하긴 하네요 의학적으로 발전된 시대에 태어난 걸 감사할뿐입니다. 그리고 알보칠이 염증조직을 태워서 구내영을 치료하는 건데 비슷한 원리의 치료가 있긴 했었네요.
  숫사슴쵸파,의학의 역사를 듣다보면 참 고난의 길을 여기까지 걸어왔구나 싶어요
  이준혁,"이낙준쌤,의학의 역사 더 자주 올려주시요 ㅎㅎ 너무 재밌어요"
  깨구리,이집트 계속 나오는데 나중에 애굽민수님 초대하셔서 같이 컨텐츠 하셔도 재밌을 것 같아요 ㅎㅎ
  김윤옥,인류 역사에서 복어를 독없이 완벽하게 먹을 수 있는 것보다 상처에 소독하고 연고 바르는것이 더 오래 걸렸다닏ㄷㄷㄷ
  620Study,가끔 현실에 감사하고싶을때 닥터님들영상을 봅니다 ㅋㅋㅋㅋ
  KEVIN,영상 다시보다가 궁금해진건데.. 과거에는 십자인대가 끊어지면 어떻게 치료했을까요? 제가 재건술 받은지 3년째인데 갑자기 궁금해지네요ㅎㅎ
  bbockHY,옛날에는 전쟁이 많았어서 사람 팔다리 잘리는게 흔해서 별 생각이 없었던걸까요.. ㄷㄷ 역시 과거의 의학은 무섭네요 
  김가은,양 옆에서 고통스러워하는거 넘 웃겨요 ㅠㅠㅠㅠ 쌤들 커여버...
  초코틴틴,진짜 현대의학이 발전한게 얼마 안됐다는걸 새삼 느끼는게어릴 때(당시 90년대 중반쯤이었음) 할머니가 옆집 개한테 물렸는데 개한테 물린 상처는 그 개 털이랑 된장을 섞어 발라야된다고 개 주인한테 털 받아서 된장이랑 섞어서 상처부위에 바름...지금 생각하면 어떻게 그렇게 살았나 싶음.
  palourde,지금 고도로 발전된 서양의학에서 소독의 개념이 나온 게 고작 200년도 되지 않았다니 놀랍네요
  ᄋᄋᄋᄋ,나이팅게일이 ㄹㅇ 쩌는 위인이구나…
